<oov> 1.0	oov
صاحب 1.0	S AA H I B
للکارا 1.0	L A L K AA R AA
بدلتے 1.0	B A DD A L TD AY
میتیاری 1.0	M AY TD J AA R II
محاذ 1.0	M U H AA Z
سود 1.0	S O DD
مطالبہ 1.0	M U TD AA L A B AA
عبدالمالک 1.0	A B DD U L M AA L I K
فیشن 1.0	F II SH A N
رہنما 1.0	R A H N U M AA
میڑک 1.0	M AE RR A K
ڈھانچہ 1.0	DH AA N TS AA
پاسبان 1.0	P AA S B AA N
تعین 1.0	TD A Y J U N
ٹاؤن 1.0	T AA UU N
اچانک 1.0	A TS AA N K
پیروی 1.0	P AE R V II
ایوب 1.0	AE J UU B
دکان 1.0	DD U K AA N
چکوال 1.0	TS A K V AA L
ڈکیتی 1.0	D A K AY TD II
وقوع 1.0	V U Q UU
تبادلوں 1.0	TD A B AA DD I L OON
مزار 1.0	M A Z AA R
مواصلات 1.0	M U V AA S A L AA TD
جازم 1.0	DZ AA Z I M
مزاج 1.0	M I Z AA DZ
بدلتا 1.0	B A DD A L TD AA
مچھر 1.0	M A TSH A R
ہراس 1.0	H A R AA S
انتخابات 1.0	I N TD I X AA B AA TD
مہارت 1.0	M A H AA R A TD
شوٹنگ 1.0	SH UU T I NG
ابھرنا 1.0	U BH A R N AA
مستونگ 1.0	M A S TD UU NG
تشیہر 1.0	TD A SH II H A R
نوجوانوں 1.0	N O DZ V AA N OON
سرحدوں 1.0	S A R H A DD OON
گھانچی 1.0	GH AA N TS II
ڈرائیور 1.0	D A R AA II V A R
کٹھن 1.0	K A TH A N
دلیر 1.0	DD A L II R
ہابیل 1.0	H AA B II L
دلیل 1.0	DD A L II L
کوتاہیوں 1.0	K OO TD AA H II OON
الفاظ 1.0	A L F AA Z
اشکبار 1.0	A SH K B AA R
بنانے 1.0	B A N AA N AY
اروا 1.0	A R V AA
راضی 1.0	R AA Z II
وابسطہ 1.0	V AA B I S TD AA
حمیر 1.0	H A M II R
فائرنگ 1.0	F AA I R I NG
ستار 1.0	S I TD AA R
ٹینس 1.0	T AE N S
منسلک 1.0	M U N S I L I K
فوراً 1.0	F O R A N
پریکٹس 1.0	P A R AE K T I S
ثانیہ 1.0	S AA N I J AA
ودھائی 1.0	V I DDH AA II
انکوائری 1.0	I N K U V AA I R II
کانٹے 1.0	K AA N T AY
منگورہ 1.0	M A NG G UU R AA
سیکھنے 1.0	S II KH N AY
شراب 1.0	SH A R AA B
دوران 1.0	DD O R AA N
تواضع 1.0	TD A V AA Z OO
سغیرہ 1.0	S A GG AE R AA
حکومت 1.0	H U K UU M A TD
طبقہ 1.0	TD A B Q AA
بغیر 1.0	B A GG AE R
عاقل 1.0	AA Q I L
نجی 1.0	N A DZ II
زوال 1.0	Z A V V AA L
طبقے 1.0	TD A B Q AY
کاروایوں 1.0	K AA R V AA J OON
زوار 1.0	Z A V AA R
تمام 1.0	TD A M AA M
لوئر 1.0	L OO A R
سنے 1.0	S U N AY
شالیمار 1.0	SH AA L II M AA R
نیکی 1.0	N AY K II
سنی 1.0	S U N II
برادران 1.0	B A R AA DD R AA N
عاقب 1.0	AA Q I B
بحری 1.0	B A H R II
امداد 1.0	I M DD AA DD
ریشماں 1.0	R AY SH M AAN
مارکیٹ 1.0	M AA R K II T
ٹوٹ 1.0	T UU T
گزرتا 1.0	G U Z A R TD AA
بیچارے 1.0	B AY TS AA R AY
بیچارہ 1.0	B AY TS AA R AA
اضافہ 1.0	I Z AA F AA
اضافی 1.0	I Z AA F II
بالائی 1.0	B AA L AA II
سند 1.0	S A N DD
سنت 1.0	S U N TD
اضافے 1.0	I Z AA F AY
سنا 1.0	S U N AA
مفت 1.0	M U F TD
برطانیہ 1.0	B A R TD AA N I J AA
تقسیم 1.0	TD A Q S II M
کپاس 1.0	K A P P AA S
گیارہ 1.0	G I J AA R AA
چوڑی 1.0	TS O RR II
کبھی 1.0	K A BH BH II
حاتم 1.0	H AA TD I M
آبادی 1.0	AA B AA DD II
جھوٹی 1.0	DZH UU T II
وطنی 1.0	V A TD N II
دربار 1.0	DD A R B AA R
سحر 1.0	S A H R
گھبرانا 1.0	GH A B R AA N AA
جھوٹے 1.0	DZH UU T AY
سیکھنا 1.0	S II KH N AA
نوٹوں 1.0	N OO T OON
نفسیاتی 1.0	N A F S I J AA TD II
اچھا 1.0	U TSH TSH AA
رچانا 1.0	R A TS AA N AA
ڈھیر 1.0	DH AY R
حصانت 1.0	H I S AA N A TD
دولتمند 1.0	DD O L A TD M A N DD
شانہ 1.0	SH AA N AA
ایریا 1.0	AE R I J AA
جہانیاں 1.0	DZ A H AA N I J AAN
باشی 1.0	B AA SH II
چیزو 1.0	TS II Z OO
حرکات 1.0	H A R K AA TD
ربانی 1.0	R A B AA N II
ڈھیٹ 1.0	DH AY T
واجدہ 1.0	V AA DZ I DD AA
سیاسی 1.0	S I J AA S II
جھگڑا 1.0	DZH A G RR AA
لیزنگ 1.0	L II Z I NG
تربت 1.0	TD A R B A TD
بن 1.0	B A N
قرۃالعین 1.0	Q U R R A TD A Y II N
ڈھیل 1.0	DH AY L
دوگنی 1.0	DD OO G N II
تابوت 1.0	TD AA B UU TD
ہسپتال 1.0	H A S P A TD AA L
بتایا 1.0	B A TD AA J AA
مسالے 1.0	M A S AA L AY
اختتام 1.0	I X TD I TD AA M
رابطوں 1.0	R AA B I TD OON
سنگھ 1.0	S U NG GH
توہینِ 1.0	TD O H II N AY
سیلاب 1.0	S AE L AA B
مواقع 1.0	M A V AA Q AY
منیبہ 1.0	M U N II B AA
تفسیر 1.0	TD A F S II R
اظہر 1.0	A Z H A R
منظور 1.0	M A N Z UU R
ثواب 1.0	S A V AA B
روبینہ 1.0	R OO B II N AA
بنوانے 1.0	B A N V AA N AY
تیرہ 1.0	TD AE R AA
خاندانوں 1.0	X AA N DD AA N OON
رزنگار 1.0	R A Z A NG G AA R
روزانہ 1.0	R OO Z AA N AA
خریدی 1.0	X A R II DD II
افراسیاب 1.0	A F R AA S J AA B
جلانے 1.0	DZ A L AA N AY
عذرا 1.0	U Z R AA
دھرنا 1.0	DDH A R N AA
کہانی 1.0	K A H AA N II
لکل 1.0	L I K A L
بھاگا 1.0	BH AA G AA
اندرونی 1.0	A N DD A R UU N II
نبھائے 1.0	N I BH AA AY
آنسوؤں 1.0	AA N S UU OON
سانگھڑ 1.0	S AA NG GH A RR
ممکن 1.0	M U M K I N
سلوک 1.0	S A L UU K
عمارتیں 1.0	I M AA R A TD AYN
مدعو 1.0	M A DD UU
گلوکاروں 1.0	G U L UU K AA R OON
کان 1.0	K AA N
کام 1.0	K AA M
کال 1.0	K AA L
فاضلہ 1.0	F AA Z I L AA
لکی 1.0	L A K II
اندرونِ 1.0	A N DD A R V A N AY
رابعہ 1.0	R AA B I AA
کاٹ 1.0	K AA T
ولاز 1.0	V I L AA Z
ٹائر 1.0	T AA I R
عباس 1.0	A B B AA S
لکھ 1.0	L I KH
حجاج 1.0	H U DZ DZ AA DZ
حجاب 1.0	H I DZ AA B
گوالمنڈی 1.0	G U L AA L M A N D II
مستقبل 1.0	M U S TD A Q B A L
کاش 1.0	K AA SH
کار 1.0	K AA R
ہزار 1.0	H A Z AA R
مذاکرات 1.0	M U Z AA K A R AA TD
ارتضا 1.0	I R TD A Z AA
سیکیورٹی 1.0	S II K J OO R I T II
شیندور 1.0	SH AY N DD UU R
کاج 1.0	K AA DZ
تقلید 1.0	TD A Q L II DD
صفیہ 1.0	S A F I J J AA
تسنیم 1.0	TD A S N II M
مبہوت 1.0	M A B H UU TD
ڈاکوؤں 1.0	D AA K UU OON
نگنیہ 1.0	N I G I N J AA
مذہبی 1.0	M A Z H A B II
آٹھ 1.0	AA TH
بساش 1.0	B A S AA SH
خطے 1.0	X A TD TD AY
پڑھے 1.0	P A RRH AY
متعدد 1.0	M U TD A A DD DD I DD
بھیجو 1.0	BH AY DZ OO
تعلقات 1.0	TD A A L L U Q AA TD
خطہ 1.0	X I TD TD AA
تصادم 1.0	TD A S AA DD U M
سوال 1.0	S A V AA L
بھیجا 1.0	BH AY DZ AA
باوردی 1.0	B AA V A R DD II
اختیار 1.0	I X TD I J AA R
سوار 1.0	S A V AA R
سوات 1.0	S A V AA TD
بسام 1.0	B A S AA M
گزشتہ 1.0	G U Z A SH TD AA
نظرِثانی 1.0	N A Z R AY S AA N II
نگینہ 1.0	N A G II N AA
مہربانی 1.0	M AYH H R B AA N II
حولاء 1.0	H O L AA
بدن 1.0	B A DD A N
بدل 1.0	B A DD A L
ممتاز 1.0	M U M TD AA Z
بیراج 1.0	B AE R AA DZ
سلہری 1.0	S U L AEH H R II
داخلہ 1.0	DD AA X I L AA
حوصلہ 1.0	H O S L AA
گلابوں 1.0	G U L AA B OON
کارخانے 1.0	K AA R X AA N AY
حوصلے 1.0	H O S L AY
بھیجے 1.0	BH AY DZ AY
ثمن 1.0	S A M A N
تشکیل 1.0	TD A SH K II L
بازو 1.0	B AA Z UU
بازف 1.0	B AA Z I F
پلازوں 1.0	P A L AA Z OON
پیداوار 1.0	P AE DD AA V AA R
اٹک 1.0	A T A K
آٹو 1.0	AA T OO
امعان 1.0	A M A N AA
اداکاروں 1.0	A DD AA K AA R OON
اٹھ 1.0	U TH
مقررہ 1.0	M U Q A R R A R AA
پڑھا 1.0	P A RRH AA
عالمی 1.0	AA L A M II
کردار 1.0	K I R DD AA R
عالمہ 1.0	AA L I M AA
بدر 1.0	B A DD A R
گفتگو 1.0	G U F TD G UU
گول 1.0	G OO L
شوگر 1.0	SH UU G A R
بتائیے 1.0	B A TD AA II AY
دراز 1.0	DD A R AA Z
باغبان 1.0	B AA GG B AA N
مریضوں 1.0	M A R II Z OON
شجر 1.0	SH A DZ A R
شکوک 1.0	SH U K UU K
بھرتی 1.0	BH A R TD II
نیچے 1.0	N II TS AY
آمنہ 1.0	AA M N AA
جی 1.0	DZ II
شکوے 1.0	SH I K V AY
ہنگام 1.0	H A NG G AA M
شیخو 1.0	SH AY X UU
شاہی 1.0	SH AA H II
تابندہ 1.0	TD AA B I N DD AA
حذیفہ 1.0	H A Z II F AA
چوبارہ 1.0	TS O B AA R AA
رخشی 1.0	R A X SH II
توہین 1.0	TD O H II N
کاشت 1.0	K AA SH TD
کاشر 1.0	K AA SH A R
جا 1.0	DZ AA
رونما 1.0	R OO N I M AA
جج 1.0	DZ A DZ
انقلابی 1.0	I N Q I L AA B II
جب 1.0	DZ A B
شکور 1.0	SH I K UU R
جس 1.0	DZ I S
جمع 1.0	DZ A M AA
شاہد 1.0	SH AA H I DD
بھڑاس 1.0	BH A RR AA S
فلک 1.0	F A L A K
جل 1.0	DZ A L
رابطہ 1.0	R AA B I TD AA
ٹنڈو 1.0	T A N D OO
جو 1.0	DZ OO
رابطے 1.0	R AA B I TD AY
تنہا 1.0	TD A N H AA
زکریا 1.0	Z A K R I J AA
ہمیں 1.0	H A M AYN
کاشف 1.0	K AA SH I F
دلکش 1.0	DD I L K A SH
شکست 1.0	SH I K S A TD
ریحانہ 1.0	R AE H AA N AA
بریفنگ 1.0	B R II F I NG
کلاسیکی 1.0	K A L AA S II K II
دیکھنے 1.0	DD AY KH N AY
جارحانہ 1.0	DZ AA R I H AA N AA
لمبائی 1.0	L A M B AA II
بالکل 1.0	B I L K A L
انجام 1.0	I N DZ AA M
تشریح 1.0	TD A SH R II H
وعدوں 1.0	V AA DD OON
عاتقہ 1.0	AA TD I Q AA
فیملی 1.0	F AE M L II
فلاح 1.0	F A L AA
انکے 1.0	I N K AY
تشریف 1.0	TD A SH R II F
ثقافت 1.0	S A Q AA F A TD
انکی 1.0	A N K II
گورنگی 1.0	G UU R A NG G II
لنڈا 1.0	L U N D AA
طلحہ 1.0	TD A L H AA
سیالکوٹ 1.0	S I J AA L K OO T
بارشوں 1.0	B AA R I SH OON
اداروں 1.0	I DD AA R OON
نوکری 1.0	N O K A R II
دشمن 1.0	DD U SH M A N
لنڈی 1.0	L U N D II
دلباز 1.0	DD I L B AA Z
بھکاریوں 1.0	BH A K AA R II OON
توقیر 1.0	TD O Q II R
جایئں 1.0	DZ AA J AYN
بخوبی 1.0	B A X UU B II
صالح 1.0	S AA L AY
تصنیف 1.0	TD A S N II F
ڈھونڈا 1.0	DH UU N D AA
س 1.0	S
بچایا 1.0	B A TS AA J AA
اداکارہ 1.0	A DD AA K AA R AA
بےہوشی 1.0	B AY H OO SH II
ویسا 1.0	V AE S AA
ظہیر 1.0	Z A H II R
تجویز 1.0	TD A DZ V II Z
عرضی 1.0	A R Z II
السلام 1.0	A L S A L AA M
ٹی 1.0	T II
کھاؤں 1.0	KH AA UUN
پری 1.0	P A R II
دیکھنا 1.0	DD AY KH N AA
رنجشیں 1.0	R A N DZ I SH AYN
ناران 1.0	N AA R AA N
سندھ 1.0	S U N DDH
عریبہ 1.0	A R II B AA
گھیب 1.0	GH AY B
فیڈرل 1.0	F AE D R A L
تقدس 1.0	TD A Q A DD DD U S
صفحات 1.0	S A F H AA TD
چونیاں 1.0	TS UU N I J AAN
بیج 1.0	B AE DZ
قیامتیں 1.0	Q I J AA M A TD AYN
کشیدہ 1.0	K A SH II DD AA
مقامی 1.0	M A Q AA M II
مظفرآباد 1.0	M U Z F A R AY AA B AA DD
کے 1.0	K AY
آرب 1.0	AA R B
گزاری 1.0	G U Z AA R II
کی 1.0	K II
کہ 1.0	K AY
کر 1.0	K U R
کس 1.0	K I S
گزارش 1.0	G U Z AA R I SH
کش 1.0	K U SH
کب 1.0	K U B
آزان 1.0	AA Z AA N
کا 1.0	K AA
ہدا 1.0	H A DD DD AA
بحران 1.0	B A H R AA N
مشغلہ 1.0	M A SH GG A L AA
بصیر 1.0	B A S II R
کٹ 1.0	K A T
ہدف 1.0	H A DD A F
ریٹائرمنٹ 1.0	R II T AA AY R M A N T
کھاراں 1.0	KH AA R AAN
مظفر 1.0	M U Z A F F A R
بدحال 1.0	B A DD H AA L
کو 1.0	K OO
آزاد 1.0	AA Z AA DD
کم 1.0	K A M
کل 1.0	K I L
کن 1.0	K U N
فنڈ 1.0	F A N D
گزرا 1.0	G U Z R AA
حکم 1.0	H U K M
مناظر 1.0	M U N AA Z A R
بحث 1.0	B A H U S
گلیوں 1.0	G A L L II OON
بنایئں 1.0	B A N AA AYN
بحا 1.0	B A H AA
محتاج 1.0	M U H TD AA DZ
اڈے 1.0	A D D AY
کامونکی 1.0	K AA M UU N A K II
منتقل 1.0	M U N TD A Q I L
اڈہ 1.0	A D D AA
شاہدہ 1.0	SH AA H I DD AA
محتاط 1.0	M U H TD AA TD
فنی 1.0	F A N II
وہی 1.0	V A H II
گھومنا 1.0	GH UU M N AA
متفقہ 1.0	M U TD TD A F I Q AA
خرد 1.0	X U R DD
ابراہیم 1.0	I B R AA H II M
رسم 1.0	R A S M
بانڈز 1.0	B AA N D Z
صہیب 1.0	S A H II B
ارمان 1.0	A R M AA N
ایثار 1.0	II S AA R
مجسموں 1.0	M U DZ A S S A M OON
شہداء 1.0	SH U H A DD AA
کابینہ 1.0	K AA B II N AA
عدینہ 1.0	A DD II N AA
موسیقار 1.0	M UU S II Q AA R
صندل 1.0	S A N DD A L
ہلا 1.0	H I L L AA
حائقہ 1.0	H AA I Q AA
باتوں 1.0	B AA TD OON
ابوزر 1.0	A B UU Z A R
قیوم 1.0	Q I J UU M
پراسرار 1.0	P U R AA S R AA R
رشدی 1.0	R U SH DD II
فنن 1.0	F I N A N
وہم 1.0	V A H M
اڑتالیس 1.0	A RR TD AA L II S
بلیو 1.0	B I L J UU
فنِ 1.0	F A N AY
ہلو 1.0	H A L OO
امکان 1.0	I M K AA N
جانوروں 1.0	DZ AA N V A R OON
گزری 1.0	G U Z R II
گزرے 1.0	G U Z R AY
خرچ 1.0	X A R TS
وزراء 1.0	V U Z A R AA
دی 1.0	DD II
کاوشوں 1.0	K AA V I SH OON
نقش 1.0	N A Q SH
اچھرہ 1.0	U TSH A R AA
دہ 1.0	DD AY
مغل 1.0	M U GG A L
نقد 1.0	N A Q DD
دے 1.0	DD AY
ایڈز 1.0	AE D Z
سرائے 1.0	S A R AA AY
شایان 1.0	SH AA J AA N
مٹانا 1.0	M I T AA N AA
ملیحہ 1.0	M A L II H AA
ضمانت 1.0	Z A M AA N A TD
امتحانوں 1.0	I M TD I H AA N OON
گستاخی 1.0	G U S TD AA X II
جایا 1.0	DZ AA J AA
عطیہ 1.0	A TD I J AA
خوردہ 1.0	X U R DD AA
نطر 1.0	N A TD R
جوٹی 1.0	DZ OO T II
فارسی 1.0	F AA R S II
دو 1.0	DD OO
دن 1.0	DD I N
دل 1.0	DD I L
مرمت 1.0	M U R A M M A TD
رمیض 1.0	R A M II Z
رمیز 1.0	R A M II Z
سخاوت 1.0	S A X AA V A TD
دیواری 1.0	DD II V AA R II
اقرار 1.0	I Q R AA R
چوبند 1.0	TS O B A N DD
رامض 1.0	R AA M Z
شروع 1.0	SH U R UU
سیڑھیوں 1.0	S II RRH II OON
دب 1.0	DD A B
اسکندر 1.0	I S K A N DD A R
قدمی 1.0	Q A DD M II
دس 1.0	DD A S
در 1.0	DD A R
پیدائش 1.0	P AE DD AA I SH
مکالموں 1.0	M U K AA L A M OON
حاجب 1.0	H AA DZ I B
کسی 1.0	K A S S II
اسٹوڈیو 1.0	I S T OO D II OO
انیلا 1.0	A N II L AA
معاملات 1.0	M U AA M A L AA TD
تابش 1.0	TD AA B I SH
اسکے 1.0	I S K AY
ہندو 1.0	H I N DD UU
اسکی 1.0	I S K II
آپریشن 1.0	AA P R AY SH A N
عبدالقادر 1.0	A B DD U Q Q AA DD I R
تارا 1.0	TD AA R AA
رنگا 1.0	R A NG G AA
مسلمانوں 1.0	M U S L I M AA N OON
بننا 1.0	B A N N AA
رشوت 1.0	R I SH V A TD
پکڑا 1.0	P A K RR AA
حافظ 1.0	H AA F I Z
جانتے 1.0	DZ AA N TD AY
پیس 1.0	P AY S
شعاری 1.0	SH I AA R II
سونا 1.0	S OO N AA
بھونکتے 1.0	BH O N K TD AY
رفیعہ 1.0	R A F II AA
سونے 1.0	S OO N AY
بھونکتا 1.0	BH O N K TD AA
جانتا 1.0	DZ AA N TD AA
بننے 1.0	B A N N AY
رنگے 1.0	R A NG G AY
رسمی 1.0	R A S M II
قیام 1.0	Q I J AA M
مقدر 1.0	M U Q A DD DD A R
پکڑے 1.0	P A K RR AY
مقدس 1.0	M U Q A DD DD A S
واشنگ 1.0	V AA SH I NG
فخر 1.0	F A X R
سعادت 1.0	S A AA DD A TD
جزبے 1.0	DZ A Z B AY
اقلیتوں 1.0	A Q L II J A TD OON
اسکا 1.0	U S K AA
مسلح 1.0	M A S A L L AA
مقدم 1.0	M U Q A DD DD A M
جزبہ 1.0	DZ A Z B AA
کاپٹر 1.0	K AA P T A R
حاجی 1.0	H AA DZ II
سیکریٹری 1.0	S AE K R II T R II
ادائیگی 1.0	A DD AA II G II
طلباء 1.0	TD A L A B AA
سکولوں 1.0	S A K UU L OON
تماشا 1.0	TD A M AA SH AA
عصری 1.0	A S R II
میچ 1.0	M AE TS
ہارن 1.0	H AA R N
پسرور 1.0	P I S R UU R
یونہی 1.0	J UU N H II
ملتی 1.0	M U L TD II
میں 1.0	M IIN
ہنزہ 1.0	H A N Z AA
ملتے 1.0	M A L TD AY
سامعین 1.0	S AA M AY II N
فرحان 1.0	F A R H AA N
دانت 1.0	DD AA N TD
چڑھنا 1.0	TS A RRH N AA
پھالیہ 1.0	PH AA L I J AA
ہونا 1.0	H OO N AA
دانش 1.0	DD AA N I SH
فیضی 1.0	F AE Z II
خانیوال 1.0	X AA N J AA L
تادین 1.0	TD AA DD II N
رینا 1.0	R II N AA
آباد 1.0	AA B AA DD
اجلا 1.0	A DZ L A N
بیاسی 1.0	B II AA S II
دکھ 1.0	DD U KH
خضدار 1.0	X I Z DD AA R
مسجدِ 1.0	M A S DZ A DD AY
ہونے 1.0	H OO N AY
متاثرین 1.0	M U TD A A S S I R II N
قاسم 1.0	Q AA S I M
جلال 1.0	DZ A L L AA L
میز 1.0	M II Z
ملیں 1.0	M I L AYN
میر 1.0	M II R
ہونی 1.0	H OO N II
ملتا 1.0	M U L TD AA
مین 1.0	M II N
میل 1.0	M II L
دوائیاں 1.0	DD A V AA I J AAN
صادق 1.0	S AA DD I Q
تمدنی 1.0	TD A M A DD DD U N II
تماشہ 1.0	TD A M AA SH AA
آباو 1.0	AA B AA OO
معدنیات 1.0	M U DD A N A J J AA TD
متاثرہ 1.0	M U TD A A S S I R AA
حل 1.0	H U L
اسپن 1.0	I S P A N
ایمن 1.0	II M A N
اندھیرا 1.0	A N DDH AY R AA
حو 1.0	H UU
ہدائیت 1.0	H I DD AA I J A TD
معمولی 1.0	M AA M UU L II
بند 1.0	B A N DD
بنا 1.0	B A N AA
پٹرول 1.0	P I T R OO L
طیارہ 1.0	TD A J J AA R AA
اوپر 1.0	UU P A R
فرزانہ 1.0	F A R Z AA N AA
تیاریاں 1.0	TD A J J AA R I J AAN
طیارے 1.0	TD A J J AA R AY
تیرنا 1.0	TD AE R N AA
قربانیاں 1.0	Q U R B AA N I J AAN
مکران 1.0	M U K A R R AA N
دکھائیے 1.0	DD I KH AA II AY
شگفتہ 1.0	SH A G U F TD AA
وضاحت 1.0	V A Z AA H A TD
نغمے 1.0	N A GG M AY
حج 1.0	H I DZ
حد 1.0	H A DD
آہنگی 1.0	AA H A NG II
پروازوں 1.0	P A R V AA Z OON
حر 1.0	H A R
جینا 1.0	DZ II N AA
غور 1.0	GG O R
غوث 1.0	GG O S
عدالت 1.0	A DD AA L A TD
فریب 1.0	F A R II B
فرید 1.0	F A R II DD
عافیہ 1.0	AA F I J AA
لیاری 1.0	L I J AA R II
زندگیاں 1.0	Z I N DD A G I J AAN
مستجاب 1.0	M U S TD A DZ AA B
بلندیوں 1.0	B A L A N DD II OON
وجیہہ 1.0	V A DZ II H AA
کانفرنس 1.0	K AA N F A R A N S
آسانی 1.0	AA S AA N II
تیار 1.0	TD A J J AA R
عشرت 1.0	U SH R A TD
بنے 1.0	B A N AY
رہو 1.0	R A H UU
چڑھ 1.0	TS A RRH
بنی 1.0	B A N II
گھرانوں 1.0	GH A R AA N OON
شوکاز 1.0	SH O K AA Z
تھیلا 1.0	TDH AE L AA
خطرے 1.0	X A TD R AY
معشیت 1.0	M A A SH I J J A TD
زنیرہ 1.0	Z A N II R AA
عادت 1.0	AA DD A TD
اعتراض 1.0	AY TD I R AA Z
وسیع 1.0	V A S II
افشاں 1.0	A F SH AAN
عزیزہ 1.0	A Z II Z AA
رقم 1.0	R A Q A M
بیچنا 1.0	B AY TS N AA
اشیائے 1.0	AA SH J AA AY
رقص 1.0	R A Q S
پاشا 1.0	P AA SH AA
بگڑتی 1.0	B I G A RR TD II
بیروز 1.0	B AE R UU Z
بچائیں 1.0	B A TS AA AYN
اعتراف 1.0	A TD I R AA F
چابی 1.0	TS AA B II
یاتریوں 1.0	J AA TD R II OON
دفاع 1.0	DD I F AA
بربادی 1.0	B A R B AA DD II
منائی 1.0	M A N AA II
آمد 1.0	AA M I DD
نسیم 1.0	N A S II M
کینٹ 1.0	K AE N T
آمر 1.0	AA M A R
شائستہ 1.0	SH AA I S TD AA
جنڈولہ 1.0	DZ A N D OO L AA
استقبال 1.0	I S TD I Q B AA L
شاذب 1.0	SH AA Z I B
قطرے 1.0	Q A TD R AY
لطف 1.0	L A TD F
معرکہ 1.0	M A R A K AA
قافلوں 1.0	Q AA F I L OON
افسران 1.0	A F S A R AA N
اہمیت 1.0	A H M II J A TD
توڑوں 1.0	TD OO RR OON
قوانین 1.0	Q A V AA N II N
لوگوں 1.0	L OO G OON
رفاہی 1.0	R I F AA H II
اژدہام 1.0	A ZZ DD A H AA M
عادی 1.0	AA DD II
زرعی 1.0	Z A R II
آمل 1.0	AA M I L
دستیابی 1.0	DD A S TD AY J AA B II
اثاثے 1.0	A S AA S AY
اثاثہ 1.0	A S S AA S AA
مسلم 1.0	M U S L A M
چکے 1.0	TS U K K AY
عمارات 1.0	A M AA R AA TD
روہڑی 1.0	R OO H RR II
شادمان 1.0	SH AA DD M AA N
چکی 1.0	TS U K K II
پھیل 1.0	PH AE L
بیشتر 1.0	B AY SH TD A R
رجحان 1.0	R U DZ H AA N
دلچسپ 1.0	DD I L TS A S P
مختلف 1.0	M U X TD A L I F
مسلط 1.0	M U S L A TD
چیٹنگ 1.0	TS AE T I NG
کیف 1.0	K AE F
اشتہاری 1.0	I SH TD I H AA R II
آرزو 1.0	AA R Z UU
مبارک 1.0	M U B AA R I K
پژمردگی 1.0	P A ZZ M U R DD A G II
مانے 1.0	M AA N AY
شناس 1.0	SH A N AA S
سلامت 1.0	S A L AA M A TD
کوتل 1.0	K OO TD A L
امتنان 1.0	I M TD I N AA N
شدہ 1.0	SH U DD DD AA
سطوت 1.0	S U TD V A TD
رافع 1.0	R AA F AY
انسانی 1.0	I N S AA N II
ہمایوں 1.0	H A M M AA J OON
سطور 1.0	S U TD UU R
نظرانداز 1.0	N A Z A R A N DD AA Z
برباد 1.0	B A R B AA DD
چکا 1.0	TS U K K AA
ذیشان 1.0	Z II SH AA N
پیھلانے 1.0	PH AE L AA N AY
فتوحات 1.0	F A TD UU H AA TD
کرکٹر 1.0	K A R I K T A R
بنتے 1.0	B A N TD AY
پاکیزہ 1.0	P AA K II Z AA
بنتی 1.0	B A N TD II
سادہ 1.0	S AA DD AA
مصروف 1.0	M A S R UU F
اضلاع 1.0	A Z L AA
پھسل 1.0	PH I S A L
پھینک 1.0	PH AEN K
منچن 1.0	M A N TS A N
مبالغہ 1.0	M U B AA L A GG AA
مذمت 1.0	M U Z A M M A TD
قناعت 1.0	Q I N AA A TD
سازوں 1.0	S AA Z OON
ولایت 1.0	V I L AA J A TD
ڈھاک 1.0	DH AA K
تنظیمیں 1.0	TD A N Z II M AYN
اطلاق 1.0	I TD L AA Q
ہمکنار 1.0	H A M K A N AA R
اقتصادیات 1.0	I Q TD I S AA DD I J AA TD
اصلاح 1.0	I S L AA
گرجا 1.0	G I R DZ AA
عبدالمطلب 1.0	A B DD U L M U TD L A B
برآمدات 1.0	B A R AA M DD AA TD
شکایت 1.0	SH I K AA J A TD
پسندیدگی 1.0	P A S A N DD II DD A G II
ٹھنڈا 1.0	TH A N D AA
ہاشم 1.0	H AA SH I M
تمدن 1.0	TD A M A DD DD U N
اطلاع 1.0	I TD L AA
ہوجائے 1.0	H UU DZ AA AY
مریڑ 1.0	M U R II RR
گشت 1.0	G A SH TD
پذیر 1.0	P A Z II R
تصورات 1.0	TD A S UU R U TD AA TD
اخلاق 1.0	I X L AA Q
قیمتوں 1.0	Q II M A TD OON
ٹھنڈی 1.0	TH A N D II
مریم 1.0	M A R II M
مسلسل 1.0	M U S L I S A L
دوسروں 1.0	DD UU S R OON
برسی 1.0	B A R S II
ہیلی 1.0	H AY L II
ٹھنڈے 1.0	TH A N D AY
صبیحہ 1.0	S A B II H AA
مربوط 1.0	M A R B UU TD
مرید 1.0	M U R II DD
اعجاز 1.0	AY DZ AA Z
مریض 1.0	M A R II Z
کپتان 1.0	K A P TD AA N
گلشن 1.0	G A L SH A N
میکلوڈ 1.0	M AE K L UU D
قریشی 1.0	Q A R AE SH II
لطیفہ 1.0	L A TD II F AA
ہاتھ 1.0	H AA TDH
شاگرد 1.0	SH AA G I R DD
حازم 1.0	H AA Z I M
ڈھال 1.0	DH AA L
ایک 1.0	AY K
مجیدہ 1.0	M U DZ II DD AA
شکھر 1.0	SH I KH A R
ڈھکوسلے 1.0	DH A K OO S L AY
متاثرینِ 1.0	M U TD AA S A R II N AY
تماظر 1.0	TD A M AA Z U R
مشینیں 1.0	M A SH II N AYN
گیمز 1.0	G AE M Z
بیچوں 1.0	B AY TS OON
کچہری 1.0	K A TS AEH H R II
