<oov> 1.0	oov
چھٹی 1.0	TS_H A T T II
نکلیں 1.0	N I K L A_Y_N
اسامہ 1.0	A S A_A M A_A
رکھیں 1.0	R A K K_H A_Y_N
چھٹا 1.0	TS_H A T T A_A
طائر 1.0	T_D A_A I R
پنکھوں 1.0	P A N K_H O_O_N
چوا 1.0	TS U V A_A
لڑکے 1.0	L A R_R K A_Y
نوید 1.0	N A V II D_D
نویس 1.0	N A V II S
لڑکی 1.0	L A R_R K II
اشبر 1.0	A S_H B A R
دوکاندار 1.0	D_D U_U K A_A N D_D A_A R
دوکان 1.0	D_D U_U K A_A N
گراؤنڈ 1.0	G A R A_A U_U N D
مزہبی 1.0	M A Z H A B II
چہرے 1.0	TS AE_H H R A_Y
الیاس 1.0	I L J A_A S
چہرہ 1.0	TS AE_H H R A_A
امام 1.0	A M M A_A M
امان 1.0	A M A_A N
تصدق 1.0	T_D A S A D_D D_D U Q
بینظیر 1.0	B AE N A Z II R
مقررین 1.0	M U Q A R R I R II N
ایماندار 1.0	II M A_A N D_D A_A R
چیچہ 1.0	TS II TS A_A
سرما 1.0	S A R M A_A
بورڈ 1.0	B O_O R D
کوچ 1.0	K O_O TS
ابوذر 1.0	A B U_U Z A R
سلامتی 1.0	S A L A_A M T_D II
ہنر 1.0	H A N A R
الہی 1.0	I L H II
ہنس 1.0	H A N S
انڈر 1.0	A N D A R
تلخی 1.0	T_D A L X II
ٹوپی 1.0	T O_O P II
جھیکا 1.0	D_Z_H II K A_A
کشتی 1.0	K U S_H T_D II
عابدہ 1.0	A_A B I D_D A_A
کڑوی 1.0	K A R_R V II
اقتصادی 1.0	I Q T_D I S A_A D_D II
سنھبال 1.0	S A M B A_A L
لڑکیاں 1.0	L A R_R K I J A_A_N
تہمینہ 1.0	T_D AE_H H M II N A_A
فقدان 1.0	F U Q D_D A_A N
مچا 1.0	M A TS A_A
پالیسیوں 1.0	P A_A L II S II O_O_N
بیلٹ 1.0	B AE L A T
حقوق 1.0	H U Q U_U Q
پرست 1.0	P A R A S T_D
پیچھے 1.0	P II TS_H A_Y
انڈے 1.0	U N D A_Y
اِن 1.0	I N
محرومی 1.0	M A H R U_U M II
کمیونیکیشن 1.0	K A M J U_U N II K A_Y S_H A N
ہنی 1.0	H A N II
خورشید 1.0	X U R S_H II D_D
کون 1.0	K O_O N
اِس 1.0	I S
کوٹ 1.0	K O_O T
پارکنگ 1.0	P A_A R K I N_G
لپیٹ 1.0	L A P A_Y T
گواہ 1.0	G A V A_A
مختصر 1.0	M U X T_D A S A R
ماریہ 1.0	M A_A R J A_A
کانفرس 1.0	K A_A N F A R A S
شاندار 1.0	S_H A_A N D_D A_A R
لوگ 1.0	L O_O G
دستخط 1.0	D_D A S T_D X A T_D
رضاکار 1.0	R A Z A_A K A_A R
درسگاہیں 1.0	D_D A R A S G A_A H A_Y_N
چھتر 1.0	TS_H A T_D T_D A R
جہلم 1.0	D_Z A H L A M
عوامی 1.0	A V A_A M II
تمیزی 1.0	T_D A M II Z II
ذرہ 1.0	Z A R R A_A
ابتدائی 1.0	I B T_D I D_D A_A II
مارے 1.0	M A_A R A_Y
تصور 1.0	T_D A S U_U R
منصوبہ 1.0	M A N S U_U B A_A
خاور 1.0	X A_A V A R
بیویاں 1.0	B A_Y V I J A_A_N
شنگریلا 1.0	S_H A N_G R II L A N
جھیل 1.0	D_Z_H A_Y L
کوشش 1.0	K O_O S_H I S_H
نقصان 1.0	N U Q S A_A N
منتظم 1.0	M U N T_D A Z A M
وظیفہ 1.0	V A Z II F A_A
فقیر 1.0	F A Q II R
شمعون 1.0	S_H A M U_U N
بھرمار 1.0	B_H A R M A_A R
خان 1.0	X A_A N
ٹھوکریں 1.0	T_H O_O K R A_Y_N
ناجدہ 1.0	N A_A D_Z I D_D A_A
پست 1.0	P I S T_D
التمش 1.0	I L T_D A M A S_H
سیدھے 1.0	S II D_D_H A_Y
عوامل 1.0	A V A_A M I L
ریکارڈ 1.0	R II K A_A R D
رامین 1.0	R A_A M II N
درویش 1.0	D_D A R V A_Y S_H
ارکان 1.0	A R K A_A N
تحفوں 1.0	T_D A H F O_O_N
سمت 1.0	S A M T_D
غربت 1.0	G_G A R B A T_D
چنیوٹ 1.0	TS A N J U_U T
لوٹ 1.0	L O_O T
ضروریاتِ 1.0	Z A R U_U R II J A_A T_D A_Y
مذکورہ 1.0	M A Z K U_U R A_A
کِیا 1.0	K I J A_A
تحقیقات 1.0	T_D A H Q II Q A_A T_D
ٹھہر 1.0	T_H A H A R
ایٹمی 1.0	AE T M II
تعمیرِنو 1.0	T_D A_A M II R A_Y N O
اطلاعات 1.0	I T_D T_D I L A_A T_D A_A T_D
نشستیں 1.0	N A S_H A S T_D A_Y_N
سیکٹر 1.0	S AE K T A R
گلے 1.0	G A L L A_Y
خوبصورت 1.0	X U_U B S U_U R A T_D
فورنیا 1.0	F O_O R N I J A_A
فائلوں 1.0	F A_A I L O_O_N
جاندار 1.0	D_Z A_A N D_D A_A R
طائرہ 1.0	T_D A_A I R A_A
ندرت 1.0	N A D_D R A T_D
بارات 1.0	B A_A R A_A T_D
جیسی 1.0	D_Z AE S II
جنوبی 1.0	D_Z U N U_U B II
رسائی 1.0	R A S A_A II
دبئی 1.0	D_D U B A II
دلشاد 1.0	D_D I L S_H A_A D_D
پڑول 1.0	P A R_R O_O L
بَن 1.0	B A N
ہوگئے 1.0	H O_O G I A_Y
آصف 1.0	A_A S I F
خیل 1.0	X AE L
توقع 1.0	T_D A V A Q Q O_O
اطلاعت 1.0	A T_D T_D I L A_A A T_D
پروین 1.0	P A R V AE N
نوبت 1.0	N O B A T_D
باقاعدہ 1.0	B A_A Q A_A I D_D A_A
بیرکوں 1.0	B AE R K O_O_N
گلفام 1.0	G U L F A_A M
ارشاد 1.0	I R S_H A_A D_D
ظفر 1.0	Z A F A R
چپکے 1.0	TS A P K A_Y
پرویز 1.0	P A R V A_Y Z
حقیقت 1.0	H A Q II Q A T_D
داور 1.0	D_D A_A V A R
خیر 1.0	X AE R
کنندگان 1.0	K U N I N D_D G A_A N
کاشتکار 1.0	K A_A S_H T_D K A_A R
لچک 1.0	L A TS A K
پیئیں 1.0	P II A_Y_N
عدیلہ 1.0	A D_D II L A_A
صاحب 1.0	S A_A H I B
للکارا 1.0	L A L K A_A R A_A
بدلتے 1.0	B A D_D A L T_D A_Y
میتیاری 1.0	M A_Y T_D J A_A R II
محاذ 1.0	M U H A_A Z
سود 1.0	S O D_D
مطالبہ 1.0	M U T_D A_A L A B A_A
عبدالمالک 1.0	A B D_D U L M A_A L I K
فیشن 1.0	F II S_H A N
رہنما 1.0	R A H N U M A_A
میڑک 1.0	M AE R_R A K
ڈھانچہ 1.0	D_H A_A N TS A_A
پاسبان 1.0	P A_A S B A_A N
تعین 1.0	T_D A Y J U N
ٹاؤن 1.0	T A_A U_U N
اچانک 1.0	A TS A_A N K
پیروی 1.0	P AE R V II
ایوب 1.0	AE J U_U B
دکان 1.0	D_D U K A_A N
چکوال 1.0	TS A K V A_A L
ڈکیتی 1.0	D A K A_Y T_D II
وقوع 1.0	V U Q U_U
تبادلوں 1.0	T_D A B A_A D_D I L O_O_N
مزار 1.0	M A Z A_A R
مواصلات 1.0	M U V A_A S A L A_A T_D
جازم 1.0	D_Z A_A Z I M
مزاج 1.0	M I Z A_A D_Z
بدلتا 1.0	B A D_D A L T_D A_A
مچھر 1.0	M A TS_H A R
ہراس 1.0	H A R A_A S
انتخابات 1.0	I N T_D I X A_A B A_A T_D
مہارت 1.0	M A H A_A R A T_D
شوٹنگ 1.0	S_H U_U T I N_G
ابھرنا 1.0	U B_H A R N A_A
مستونگ 1.0	M A S T_D U_U N_G
تشیہر 1.0	T_D A S_H II H A R
نوجوانوں 1.0	N O D_Z V A_A N O_O_N
سرحدوں 1.0	S A R H A D_D O_O_N
گھانچی 1.0	G_H A_A N TS II
ڈرائیور 1.0	D A R A_A II V A R
کٹھن 1.0	K A T_H A N
دلیر 1.0	D_D A L II R
ہابیل 1.0	H A_A B II L
دلیل 1.0	D_D A L II L
کوتاہیوں 1.0	K O_O T_D A_A H II O_O_N
الفاظ 1.0	A L F A_A Z
اشکبار 1.0	A S_H K B A_A R
بنانے 1.0	B A N A_A N A_Y
اروا 1.0	A R V A_A
راضی 1.0	R A_A Z II
وابسطہ 1.0	V A_A B I S T_D A_A
حمیر 1.0	H A M II R
فائرنگ 1.0	F A_A I R I N_G
ستار 1.0	S I T_D A_A R
ٹینس 1.0	T AE N S
منسلک 1.0	M U N S I L I K
فوراً 1.0	F O R A N
پریکٹس 1.0	P A R AE K T I S
ثانیہ 1.0	S A_A N I J A_A
ودھائی 1.0	V I D_D_H A_A II
انکوائری 1.0	I N K U V A_A I R II
کانٹے 1.0	K A_A N T A_Y
منگورہ 1.0	M A N_G G U_U R A_A
سیکھنے 1.0	S II K_H N A_Y
شراب 1.0	S_H A R A_A B
دوران 1.0	D_D O R A_A N
تواضع 1.0	T_D A V A_A Z O_O
سغیرہ 1.0	S A G_G AE R A_A
حکومت 1.0	H U K U_U M A T_D
طبقہ 1.0	T_D A B Q A_A
بغیر 1.0	B A G_G AE R
عاقل 1.0	A_A Q I L
نجی 1.0	N A D_Z II
زوال 1.0	Z A V V A_A L
طبقے 1.0	T_D A B Q A_Y
کاروایوں 1.0	K A_A R V A_A J O_O_N
زوار 1.0	Z A V A_A R
تمام 1.0	T_D A M A_A M
لوئر 1.0	L O_O A R
سنے 1.0	S U N A_Y
شالیمار 1.0	S_H A_A L II M A_A R
نیکی 1.0	N A_Y K II
سنی 1.0	S U N II
برادران 1.0	B A R A_A D_D R A_A N
عاقب 1.0	A_A Q I B
بحری 1.0	B A H R II
امداد 1.0	I M D_D A_A D_D
ریشماں 1.0	R A_Y S_H M A_A_N
مارکیٹ 1.0	M A_A R K II T
ٹوٹ 1.0	T U_U T
گزرتا 1.0	G U Z A R T_D A_A
بیچارے 1.0	B A_Y TS A_A R A_Y
بیچارہ 1.0	B A_Y TS A_A R A_A
اضافہ 1.0	I Z A_A F A_A
اضافی 1.0	I Z A_A F II
بالائی 1.0	B A_A L A_A II
سند 1.0	S A N D_D
سنت 1.0	S U N T_D
اضافے 1.0	I Z A_A F A_Y
سنا 1.0	S U N A_A
مفت 1.0	M U F T_D
برطانیہ 1.0	B A R T_D A_A N I J A_A
تقسیم 1.0	T_D A Q S II M
کپاس 1.0	K A P P A_A S
گیارہ 1.0	G I J A_A R A_A
چوڑی 1.0	TS O R_R II
کبھی 1.0	K A B_H B_H II
حاتم 1.0	H A_A T_D I M
آبادی 1.0	A_A B A_A D_D II
جھوٹی 1.0	D_Z_H U_U T II
وطنی 1.0	V A T_D N II
دربار 1.0	D_D A R B A_A R
سحر 1.0	S A H R
گھبرانا 1.0	G_H A B R A_A N A_A
جھوٹے 1.0	D_Z_H U_U T A_Y
سیکھنا 1.0	S II K_H N A_A
نوٹوں 1.0	N O_O T O_O_N
نفسیاتی 1.0	N A F S I J A_A T_D II
اچھا 1.0	U TS_H TS_H A_A
رچانا 1.0	R A TS A_A N A_A
ڈھیر 1.0	D_H A_Y R
حصانت 1.0	H I S A_A N A T_D
دولتمند 1.0	D_D O L A T_D M A N D_D
شانہ 1.0	S_H A_A N A_A
ایریا 1.0	AE R I J A_A
جہانیاں 1.0	D_Z A H A_A N I J A_A_N
باشی 1.0	B A_A S_H II
چیزو 1.0	TS II Z O_O
حرکات 1.0	H A R K A_A T_D
ربانی 1.0	R A B A_A N II
ڈھیٹ 1.0	D_H A_Y T
واجدہ 1.0	V A_A D_Z I D_D A_A
سیاسی 1.0	S I J A_A S II
جھگڑا 1.0	D_Z_H A G R_R A_A
لیزنگ 1.0	L II Z I N_G
تربت 1.0	T_D A R B A T_D
بن 1.0	B A N
قرۃالعین 1.0	Q U R R A T_D A Y II N
ڈھیل 1.0	D_H A_Y L
دوگنی 1.0	D_D O_O G N II
تابوت 1.0	T_D A_A B U_U T_D
ہسپتال 1.0	H A S P A T_D A_A L
بتایا 1.0	B A T_D A_A J A_A
مسالے 1.0	M A S A_A L A_Y
اختتام 1.0	I X T_D I T_D A_A M
رابطوں 1.0	R A_A B I T_D O_O_N
سنگھ 1.0	S U N_G G_H
توہینِ 1.0	T_D O H II N A_Y
سیلاب 1.0	S AE L A_A B
مواقع 1.0	M A V A_A Q A_Y
منیبہ 1.0	M U N II B A_A
تفسیر 1.0	T_D A F S II R
اظہر 1.0	A Z H A R
منظور 1.0	M A N Z U_U R
ثواب 1.0	S A V A_A B
روبینہ 1.0	R O_O B II N A_A
بنوانے 1.0	B A N V A_A N A_Y
تیرہ 1.0	T_D AE R A_A
خاندانوں 1.0	X A_A N D_D A_A N O_O_N
رزنگار 1.0	R A Z A N_G G A_A R
روزانہ 1.0	R O_O Z A_A N A_A
خریدی 1.0	X A R II D_D II
افراسیاب 1.0	A F R A_A S J A_A B
جلانے 1.0	D_Z A L A_A N A_Y
عذرا 1.0	U Z R A_A
دھرنا 1.0	D_D_H A R N A_A
کہانی 1.0	K A H A_A N II
لکل 1.0	L I K A L
بھاگا 1.0	B_H A_A G A_A
اندرونی 1.0	A N D_D A R U_U N II
نبھائے 1.0	N I B_H A_A A_Y
آنسوؤں 1.0	A_A N S U_U O_O_N
سانگھڑ 1.0	S A_A N_G G_H A R_R
ممکن 1.0	M U M K I N
سلوک 1.0	S A L U_U K
عمارتیں 1.0	I M A_A R A T_D A_Y_N
مدعو 1.0	M A D_D U_U
گلوکاروں 1.0	G U L U_U K A_A R O_O_N
کان 1.0	K A_A N
کام 1.0	K A_A M
کال 1.0	K A_A L
فاضلہ 1.0	F A_A Z I L A_A
لکی 1.0	L A K II
اندرونِ 1.0	A N D_D A R V A N A_Y
رابعہ 1.0	R A_A B I A_A
کاٹ 1.0	K A_A T
ولاز 1.0	V I L A_A Z
ٹائر 1.0	T A_A I R
عباس 1.0	A B B A_A S
لکھ 1.0	L I K_H
حجاج 1.0	H U D_Z D_Z A_A D_Z
حجاب 1.0	H I D_Z A_A B
گوالمنڈی 1.0	G U L A_A L M A N D II
مستقبل 1.0	M U S T_D A Q B A L
کاش 1.0	K A_A S_H
کار 1.0	K A_A R
ہزار 1.0	H A Z A_A R
مذاکرات 1.0	M U Z A_A K A R A_A T_D
ارتضا 1.0	I R T_D A Z A_A
سیکیورٹی 1.0	S II K J O_O R I T II
شیندور 1.0	S_H A_Y N D_D U_U R
کاج 1.0	K A_A D_Z
تقلید 1.0	T_D A Q L II D_D
صفیہ 1.0	S A F I J J A_A
تسنیم 1.0	T_D A S N II M
مبہوت 1.0	M A B H U_U T_D
ڈاکوؤں 1.0	D A_A K U_U O_O_N
نگنیہ 1.0	N I G I N J A_A
مذہبی 1.0	M A Z H A B II
آٹھ 1.0	A_A T_H
بساش 1.0	B A S A_A S_H
خطے 1.0	X A T_D T_D A_Y
پڑھے 1.0	P A R_R_H A_Y
متعدد 1.0	M U T_D A A D_D D_D I D_D
بھیجو 1.0	B_H A_Y D_Z O_O
تعلقات 1.0	T_D A A L L U Q A_A T_D
خطہ 1.0	X I T_D T_D A_A
تصادم 1.0	T_D A S A_A D_D U M
سوال 1.0	S A V A_A L
بھیجا 1.0	B_H A_Y D_Z A_A
باوردی 1.0	B A_A V A R D_D II
اختیار 1.0	I X T_D I J A_A R
سوار 1.0	S A V A_A R
سوات 1.0	S A V A_A T_D
بسام 1.0	B A S A_A M
گزشتہ 1.0	G U Z A S_H T_D A_A
نظرِثانی 1.0	N A Z R A_Y S A_A N II
نگینہ 1.0	N A G II N A_A
مہربانی 1.0	M A_Y_H H R B A_A N II
حولاء 1.0	H O L A_A
بدن 1.0	B A D_D A N
بدل 1.0	B A D_D A L
ممتاز 1.0	M U M T_D A_A Z
بیراج 1.0	B AE R A_A D_Z
سلہری 1.0	S U L AE_H H R II
داخلہ 1.0	D_D A_A X I L A_A
حوصلہ 1.0	H O S L A_A
گلابوں 1.0	G U L A_A B O_O_N
کارخانے 1.0	K A_A R X A_A N A_Y
حوصلے 1.0	H O S L A_Y
بھیجے 1.0	B_H A_Y D_Z A_Y
ثمن 1.0	S A M A N
تشکیل 1.0	T_D A S_H K II L
بازو 1.0	B A_A Z U_U
بازف 1.0	B A_A Z I F
پلازوں 1.0	P A L A_A Z O_O_N
پیداوار 1.0	P AE D_D A_A V A_A R
اٹک 1.0	A T A K
آٹو 1.0	A_A T O_O
امعان 1.0	A M A N A_A
اداکاروں 1.0	A D_D A_A K A_A R O_O_N
اٹھ 1.0	U T_H
مقررہ 1.0	M U Q A R R A R A_A
پڑھا 1.0	P A R_R_H A_A
عالمی 1.0	A_A L A M II
کردار 1.0	K I R D_D A_A R
عالمہ 1.0	A_A L I M A_A
بدر 1.0	B A D_D A R
گفتگو 1.0	G U F T_D G U_U
گول 1.0	G O_O L
شوگر 1.0	S_H U_U G A R
بتائیے 1.0	B A T_D A_A II A_Y
دراز 1.0	D_D A R A_A Z
باغبان 1.0	B A_A G_G B A_A N
مریضوں 1.0	M A R II Z O_O_N
شجر 1.0	S_H A D_Z A R
شکوک 1.0	S_H U K U_U K
بھرتی 1.0	B_H A R T_D II
نیچے 1.0	N II TS A_Y
آمنہ 1.0	A_A M N A_A
جی 1.0	D_Z II
شکوے 1.0	S_H I K V A_Y
ہنگام 1.0	H A N_G G A_A M
شیخو 1.0	S_H A_Y X U_U
شاہی 1.0	S_H A_A H II
تابندہ 1.0	T_D A_A B I N D_D A_A
حذیفہ 1.0	H A Z II F A_A
چوبارہ 1.0	TS O B A_A R A_A
رخشی 1.0	R A X S_H II
توہین 1.0	T_D O H II N
کاشت 1.0	K A_A S_H T_D
کاشر 1.0	K A_A S_H A R
جا 1.0	D_Z A_A
رونما 1.0	R O_O N I M A_A
جج 1.0	D_Z A D_Z
انقلابی 1.0	I N Q I L A_A B II
جب 1.0	D_Z A B
شکور 1.0	S_H I K U_U R
جس 1.0	D_Z I S
جمع 1.0	D_Z A M A_A
شاہد 1.0	S_H A_A H I D_D
بھڑاس 1.0	B_H A R_R A_A S
فلک 1.0	F A L A K
جل 1.0	D_Z A L
رابطہ 1.0	R A_A B I T_D A_A
ٹنڈو 1.0	T A N D O_O
جو 1.0	D_Z O_O
رابطے 1.0	R A_A B I T_D A_Y
تنہا 1.0	T_D A N H A_A
زکریا 1.0	Z A K R I J A_A
ہمیں 1.0	H A M A_Y_N
کاشف 1.0	K A_A S_H I F
دلکش 1.0	D_D I L K A S_H
شکست 1.0	S_H I K S A T_D
ریحانہ 1.0	R AE H A_A N A_A
بریفنگ 1.0	B R II F I N_G
کلاسیکی 1.0	K A L A_A S II K II
دیکھنے 1.0	D_D A_Y K_H N A_Y
جارحانہ 1.0	D_Z A_A R I H A_A N A_A
لمبائی 1.0	L A M B A_A II
بالکل 1.0	B I L K A L
انجام 1.0	I N D_Z A_A M
تشریح 1.0	T_D A S_H R II H
وعدوں 1.0	V A_A D_D O_O_N
عاتقہ 1.0	A_A T_D I Q A_A
فیملی 1.0	F AE M L II
فلاح 1.0	F A L A_A
انکے 1.0	I N K A_Y
تشریف 1.0	T_D A S_H R II F
ثقافت 1.0	S A Q A_A F A T_D
انکی 1.0	A N K II
گورنگی 1.0	G U_U R A N_G G II
لنڈا 1.0	L U N D A_A
طلحہ 1.0	T_D A L H A_A
سیالکوٹ 1.0	S I J A_A L K O_O T
بارشوں 1.0	B A_A R I S_H O_O_N
اداروں 1.0	I D_D A_A R O_O_N
نوکری 1.0	N O K A R II
دشمن 1.0	D_D U S_H M A N
لنڈی 1.0	L U N D II
دلباز 1.0	D_D I L B A_A Z
بھکاریوں 1.0	B_H A K A_A R II O_O_N
توقیر 1.0	T_D O Q II R
جایئں 1.0	D_Z A_A J A_Y_N
بخوبی 1.0	B A X U_U B II
صالح 1.0	S A_A L A_Y
تصنیف 1.0	T_D A S N II F
ڈھونڈا 1.0	D_H U_U N D A_A
س 1.0	S
بچایا 1.0	B A TS A_A J A_A
اداکارہ 1.0	A D_D A_A K A_A R A_A
بےہوشی 1.0	B A_Y H O_O S_H II
ویسا 1.0	V AE S A_A
ظہیر 1.0	Z A H II R
تجویز 1.0	T_D A D_Z V II Z
عرضی 1.0	A R Z II
السلام 1.0	A L S A L A_A M
ٹی 1.0	T II
کھاؤں 1.0	K_H A_A U_U_N
پری 1.0	P A R II
دیکھنا 1.0	D_D A_Y K_H N A_A
رنجشیں 1.0	R A N D_Z I S_H A_Y_N
ناران 1.0	N A_A R A_A N
سندھ 1.0	S U N D_D_H
عریبہ 1.0	A R II B A_A
گھیب 1.0	G_H A_Y B
فیڈرل 1.0	F AE D R A L
تقدس 1.0	T_D A Q A D_D D_D U S
صفحات 1.0	S A F H A_A T_D
چونیاں 1.0	TS U_U N I J A_A_N
بیج 1.0	B AE D_Z
قیامتیں 1.0	Q I J A_A M A T_D A_Y_N
کشیدہ 1.0	K A S_H II D_D A_A
مقامی 1.0	M A Q A_A M II
مظفرآباد 1.0	M U Z F A R A_Y A_A B A_A D_D
کے 1.0	K A_Y
آرب 1.0	A_A R B
گزاری 1.0	G U Z A_A R II
کی 1.0	K II
کہ 1.0	K A_Y
کر 1.0	K U R
کس 1.0	K I S
گزارش 1.0	G U Z A_A R I S_H
کش 1.0	K U S_H
کب 1.0	K U B
آزان 1.0	A_A Z A_A N
کا 1.0	K A_A
ہدا 1.0	H A D_D D_D A_A
بحران 1.0	B A H R A_A N
مشغلہ 1.0	M A S_H G_G A L A_A
بصیر 1.0	B A S II R
کٹ 1.0	K A T
ہدف 1.0	H A D_D A F
ریٹائرمنٹ 1.0	R II T A_A A_Y R M A N T
کھاراں 1.0	K_H A_A R A_A_N
مظفر 1.0	M U Z A F F A R
بدحال 1.0	B A D_D H A_A L
کو 1.0	K O_O
آزاد 1.0	A_A Z A_A D_D
کم 1.0	K A M
کل 1.0	K I L
کن 1.0	K U N
فنڈ 1.0	F A N D
گزرا 1.0	G U Z R A_A
حکم 1.0	H U K M
مناظر 1.0	M U N A_A Z A R
بحث 1.0	B A H U S
گلیوں 1.0	G A L L II O_O_N
بنایئں 1.0	B A N A_A A_Y_N
بحا 1.0	B A H A_A
محتاج 1.0	M U H T_D A_A D_Z
اڈے 1.0	A D D A_Y
کامونکی 1.0	K A_A M U_U N A K II
منتقل 1.0	M U N T_D A Q I L
اڈہ 1.0	A D D A_A
شاہدہ 1.0	S_H A_A H I D_D A_A
محتاط 1.0	M U H T_D A_A T_D
فنی 1.0	F A N II
وہی 1.0	V A H II
گھومنا 1.0	G_H U_U M N A_A
متفقہ 1.0	M U T_D T_D A F I Q A_A
خرد 1.0	X U R D_D
ابراہیم 1.0	I B R A_A H II M
رسم 1.0	R A S M
بانڈز 1.0	B A_A N D Z
صہیب 1.0	S A H II B
ارمان 1.0	A R M A_A N
ایثار 1.0	II S A_A R
مجسموں 1.0	M U D_Z A S S A M O_O_N
شہداء 1.0	S_H U H A D_D A_A
کابینہ 1.0	K A_A B II N A_A
عدینہ 1.0	A D_D II N A_A
موسیقار 1.0	M U_U S II Q A_A R
صندل 1.0	S A N D_D A L
ہلا 1.0	H I L L A_A
حائقہ 1.0	H A_A I Q A_A
باتوں 1.0	B A_A T_D O_O_N
ابوزر 1.0	A B U_U Z A R
قیوم 1.0	Q I J U_U M
پراسرار 1.0	P U R A_A S R A_A R
رشدی 1.0	R U S_H D_D II
فنن 1.0	F I N A N
وہم 1.0	V A H M
اڑتالیس 1.0	A R_R T_D A_A L II S
بلیو 1.0	B I L J U_U
فنِ 1.0	F A N A_Y
ہلو 1.0	H A L O_O
امکان 1.0	I M K A_A N
جانوروں 1.0	D_Z A_A N V A R O_O_N
گزری 1.0	G U Z R II
گزرے 1.0	G U Z R A_Y
خرچ 1.0	X A R TS
وزراء 1.0	V U Z A R A_A
دی 1.0	D_D II
کاوشوں 1.0	K A_A V I S_H O_O_N
نقش 1.0	N A Q S_H
اچھرہ 1.0	U TS_H A R A_A
دہ 1.0	D_D A_Y
مغل 1.0	M U G_G A L
نقد 1.0	N A Q D_D
دے 1.0	D_D A_Y
ایڈز 1.0	AE D Z
سرائے 1.0	S A R A_A A_Y
شایان 1.0	S_H A_A J A_A N
مٹانا 1.0	M I T A_A N A_A
ملیحہ 1.0	M A L II H A_A
ضمانت 1.0	Z A M A_A N A T_D
امتحانوں 1.0	I M T_D I H A_A N O_O_N
گستاخی 1.0	G U S T_D A_A X II
جایا 1.0	D_Z A_A J A_A
عطیہ 1.0	A T_D I J A_A
خوردہ 1.0	X U R D_D A_A
نطر 1.0	N A T_D R
جوٹی 1.0	D_Z O_O T II
فارسی 1.0	F A_A R S II
دو 1.0	D_D O_O
دن 1.0	D_D I N
دل 1.0	D_D I L
مرمت 1.0	M U R A M M A T_D
رمیض 1.0	R A M II Z
رمیز 1.0	R A M II Z
سخاوت 1.0	S A X A_A V A T_D
دیواری 1.0	D_D II V A_A R II
اقرار 1.0	I Q R A_A R
چوبند 1.0	TS O B A N D_D
رامض 1.0	R A_A M Z
شروع 1.0	S_H U R U_U
سیڑھیوں 1.0	S II R_R_H II O_O_N
دب 1.0	D_D A B
اسکندر 1.0	I S K A N D_D A R
قدمی 1.0	Q A D_D M II
دس 1.0	D_D A S
در 1.0	D_D A R
پیدائش 1.0	P AE D_D A_A I S_H
مکالموں 1.0	M U K A_A L A M O_O_N
حاجب 1.0	H A_A D_Z I B
کسی 1.0	K A S S II
اسٹوڈیو 1.0	I S T O_O D II O_O
انیلا 1.0	A N II L A_A
معاملات 1.0	M U A_A M A L A_A T_D
تابش 1.0	T_D A_A B I S_H
اسکے 1.0	I S K A_Y
ہندو 1.0	H I N D_D U_U
اسکی 1.0	I S K II
آپریشن 1.0	A_A P R A_Y S_H A N
عبدالقادر 1.0	A B D_D U Q Q A_A D_D I R
تارا 1.0	T_D A_A R A_A
رنگا 1.0	R A N_G G A_A
مسلمانوں 1.0	M U S L I M A_A N O_O_N
بننا 1.0	B A N N A_A
رشوت 1.0	R I S_H V A T_D
پکڑا 1.0	P A K R_R A_A
حافظ 1.0	H A_A F I Z
جانتے 1.0	D_Z A_A N T_D A_Y
پیس 1.0	P A_Y S
شعاری 1.0	S_H I A_A R II
سونا 1.0	S O_O N A_A
بھونکتے 1.0	B_H O N K T_D A_Y
رفیعہ 1.0	R A F II A_A
سونے 1.0	S O_O N A_Y
بھونکتا 1.0	B_H O N K T_D A_A
جانتا 1.0	D_Z A_A N T_D A_A
بننے 1.0	B A N N A_Y
رنگے 1.0	R A N_G G A_Y
رسمی 1.0	R A S M II
قیام 1.0	Q I J A_A M
مقدر 1.0	M U Q A D_D D_D A R
پکڑے 1.0	P A K R_R A_Y
مقدس 1.0	M U Q A D_D D_D A S
واشنگ 1.0	V A_A S_H I N_G
فخر 1.0	F A X R
سعادت 1.0	S A A_A D_D A T_D
جزبے 1.0	D_Z A Z B A_Y
اقلیتوں 1.0	A Q L II J A T_D O_O_N
اسکا 1.0	U S K A_A
مسلح 1.0	M A S A L L A_A
مقدم 1.0	M U Q A D_D D_D A M
جزبہ 1.0	D_Z A Z B A_A
کاپٹر 1.0	K A_A P T A R
حاجی 1.0	H A_A D_Z II
سیکریٹری 1.0	S AE K R II T R II
ادائیگی 1.0	A D_D A_A II G II
طلباء 1.0	T_D A L A B A_A
سکولوں 1.0	S A K U_U L O_O_N
تماشا 1.0	T_D A M A_A S_H A_A
عصری 1.0	A S R II
میچ 1.0	M AE TS
ہارن 1.0	H A_A R N
پسرور 1.0	P I S R U_U R
یونہی 1.0	J U_U N H II
ملتی 1.0	M U L T_D II
میں 1.0	M II_N
ہنزہ 1.0	H A N Z A_A
ملتے 1.0	M A L T_D A_Y
سامعین 1.0	S A_A M A_Y II N
فرحان 1.0	F A R H A_A N
دانت 1.0	D_D A_A N T_D
